epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,4.184210976557945,0.5663868162169385,2.1931069528355316,0.644695380154778
1,2.5021217670013653,0.5899668327018396,1.8828726095311783,0.6467962194891537
2,2.195942606498946,0.5946310118063173,2.0984160198884854,0.6257878191330853
3,2.1530774547092952,0.5999689057691774,1.7288655323140762,0.6294642897213206
4,1.8973452742420025,0.6076907132988545,1.5007567405700684,0.676207984195036
5,1.9721561937189813,0.5948383087542519,1.793541150934556,0.629201682174907
6,1.8718301253532297,0.5969112773439778,1.827844318221597,0.6131827761145199
7,1.679300651176652,0.6163453566494272,1.5567389656515682,0.6638655487228843
8,1.675931507082128,0.600176202717112,1.5405511084724874,0.6452205882352942
9,1.6970569589244786,0.600435323679625,1.5447184688904707,0.6457457998219658
10,1.5553353508906578,0.6176927863661923,1.4548469992244946,0.6436449604875901
11,1.4506549372601865,0.6085717251051718,1.3531297340112574,0.6565126075464136
12,1.4873663987686385,0.5873237977276987,1.1718834884026472,0.6696428586454952
13,1.3878872732617962,0.6141687400305449,1.305370485081392,0.6352415996439317
14,1.3487549504237388,0.6184183252391531,1.2583357341149275,0.6339285724303302
15,1.322720572130004,0.5919879768321763,1.125874210806454,0.6528361369581783
16,1.3199883610454959,0.5936981759854217,1.084916773964377,0.6688550430185655
17,1.2590431508733266,0.6039593700152724,1.1791187244303085,0.6507352941176471
18,1.2070613236569647,0.6207504147913918,1.0113835650331833,0.664653364349814
19,1.1377768765634566,0.6137541461346755,1.1441927552223206,0.6394432783126831
